"product_id","product_name","image_id","side","generic_name","net_quantity","mrp","unit_sale_price","date_of_packing","expiry_use_by","batch_number","manufacturer_packer","country_of_origin","consumer_care","nutritional_information","veg_nonveg","overall_status","violation"
"P004","Fortune","IMG_013.jpeg","side","Mustard Oil / Kachi Ghani Pure Mustard Oil","455 g","₹129.00","₹0.28/g","10JUL2026","09JUL2027","AR)KM06D191 B 21:51:56","AWL Agri Business Limited","India","1800 572 9999 / care@awl.in","PRESENT","PRESENT","COMPLIANT","NONE"
"P005","Mayo","IMG_014.jpeg","back","Emulsified Sauces and Dips / Veg Mayonnaise","300 g","₹90/-","₹0.30/g","27/02/26","26/10/26","SB184A","Hindustan Unilever Ltd. / Symega Food Ingredients Ltd.","India","1800-10-22-221 / lever.care@unilever.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P005","Mayo","IMG_017.jpeg","front","Emulsified Sauces and Dips / Veg Mayonnaise","300 g","₹90/-","₹0.30/g","27/02/26","26/10/26","SB184A","Hindustan Unilever Ltd. / Symega Food Ingredients Ltd.","India","1800-10-22-221 / lever.care@unilever.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P006","Peanut Butter","IMG_019.jpeg","front","Peanut based spreads with Dark Chocolate","1 kg","","","","","","Super Nutri Foods / Tanvi Spreads Pvt Ltd","India","+91 7096699111 / care@myfitness.co.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P006","Peanut Butter","IMG_021.jpeg","back","Peanut based spreads with Dark Chocolate","1 kg","","","","","","Super Nutri Foods / Tanvi Spreads Pvt Ltd","India","+91 7096699111 / care@myfitness.co.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P006","Peanut Butter","IMG_022.jpeg","side","Peanut based spreads with Dark Chocolate","1 kg","","","","","","Super Nutri Foods / Tanvi Spreads Pvt Ltd","India","+91 7096699111 / care@myfitness.co.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P006","Peanut Butter","IMG_023.jpeg","side","Peanut based spreads with Dark Chocolate","1 kg","","","","","","Super Nutri Foods / Tanvi Spreads Pvt Ltd","India","+91 7096699111 / care@myfitness.co.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P007","Gala Muesli","IMG_024.jpeg","side","Healthy Breakfast Cereal / Breakfast Cereal","1 kg","₹699.00","₹699/kg","29/03/2025","28/12/2025","MCC0725","Aar Gee Formulations","India","18003132215 / info@cosmicnutracos.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P007","Gala Muesli","IMG_025.jpeg","side","Healthy Breakfast Cereal / Breakfast Cereal","1 kg","₹699.00","₹699/kg","29/03/2025","28/12/2025","MCC0725","Aar Gee Formulations","India","18003132215 / info@cosmicnutracos.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P007","Gala Muesli","IMG_026.jpeg","front","Healthy Breakfast Cereal / Breakfast Cereal","1 kg","₹699.00","₹699/kg","29/03/2025","28/12/2025","MCC0725","Aar Gee Formulations","India","18003132215 / info@cosmicnutracos.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P007","Gala Muesli","IMG_027.jpeg","side","Healthy Breakfast Cereal / Breakfast Cereal","1 kg","₹699.00","₹699/kg","29/03/2025","28/12/2025","MCC0725","Aar Gee Formulations","India","18003132215 / info@cosmicnutracos.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P007","Gala Muesli","IMG_030.jpeg","back","Healthy Breakfast Cereal / Breakfast Cereal","1 kg","₹699.00","₹699/kg","29/03/2025","28/12/2025","MCC0725","Aar Gee Formulations","India","18003132215 / info@cosmicnutracos.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P008","Goodday","IMG_028.jpeg","front","BISCUIT / BUTTER COOKIES","38.8 g","₹5.00","₹0.13/g","16/04/26","15/09/26","B 04269P 209 04:47","Britannia Industries Ltd. / Aditya Flexipack Pvt. Ltd.","India","1-800-4254449 / feedback@britindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P008","Goodday","IMG_029.jpeg","back","BISCUIT / BUTTER COOKIES","38.8 g","₹5.00","₹0.13/g","16/04/26","15/09/26","B 04269P 209 04:47","Britannia Industries Ltd. / Aditya Flexipack Pvt. Ltd.","India","1-800-4254449 / feedback@britindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P008","Goodday","IMG_031.jpeg","side","BISCUIT / BUTTER COOKIES","38.8 g","₹5.00","₹0.13/g","16/04/26","15/09/26","B 04269P 209 04:47","Britannia Industries Ltd. / Aditya Flexipack Pvt. Ltd.","India","1-800-4254449 / feedback@britindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P008","Goodday","IMG_032.jpeg","side","BISCUIT / BUTTER COOKIES","38.8 g","₹5.00","₹0.13/g","16/04/26","15/09/26","B 04269P 209 04:47","Britannia Industries Ltd. / Aditya Flexipack Pvt. Ltd.","India","1-800-4254449 / feedback@britindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P008","Goodday","IMG_033.jpeg","side","BISCUIT / BUTTER COOKIES","38.8 g","₹5.00","₹0.13/g","16/04/26","15/09/26","B 04269P 209 04:47","Britannia Industries Ltd. / Aditya Flexipack Pvt. Ltd.","India","1-800-4254449 / feedback@britindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P008","Goodday","IMG_034.jpeg","side","BISCUIT / BUTTER COOKIES","38.8 g","₹5.00","₹0.13/g","16/04/26","15/09/26","B 04269P 209 04:47","Britannia Industries Ltd. / Aditya Flexipack Pvt. Ltd.","India","1-800-4254449 / feedback@britindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P009","Bournvita","IMG_009.jpeg","side","Cereal Based Beverage Mix / Proprietary Food","1 kg","₹485.00","₹485/kg","29/12/25","28/12/26","R51209C1","Mondelez India Foods Pvt Ltd / Barmalt Malting (India) Pvt Ltd / Shree Warana Sahakari Dudh Utpadak Prakriya Sangh Ltd","India","1800 22 7080 / suggestions@mdlzindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P009","Bournvita","IMG_015.jpeg","side","Cereal Based Beverage Mix / Proprietary Food","1 kg","₹485.00","₹485/kg","29/12/25","28/12/26","R51209C1","Mondelez India Foods Pvt Ltd / Barmalt Malting (India) Pvt Ltd / Shree Warana Sahakari Dudh Utpadak Prakriya Sangh Ltd","India","1800 22 7080 / suggestions@mdlzindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P009","Bournvita","IMG_016.jpeg","back","Cereal Based Beverage Mix / Proprietary Food","1 kg","₹485.00","₹485/kg","29/12/25","28/12/26","R51209C1","Mondelez India Foods Pvt Ltd / Barmalt Malting (India) Pvt Ltd / Shree Warana Sahakari Dudh Utpadak Prakriya Sangh Ltd","India","1800 22 7080 / suggestions@mdlzindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P009","Bournvita","IMG_018.jpeg","side","Cereal Based Beverage Mix / Proprietary Food","1 kg","₹485.00","₹485/kg","29/12/25","28/12/26","R51209C1","Mondelez India Foods Pvt Ltd / Barmalt Malting (India) Pvt Ltd / Shree Warana Sahakari Dudh Utpadak Prakriya Sangh Ltd","India","1800 22 7080 / suggestions@mdlzindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P009","Bournvita","IMG_020.jpeg","front","Cereal Based Beverage Mix / Proprietary Food","1 kg","₹485.00","₹485/kg","29/12/25","28/12/26","R51209C1","Mondelez India Foods Pvt Ltd / Barmalt Malting (India) Pvt Ltd / Shree Warana Sahakari Dudh Utpadak Prakriya Sangh Ltd","India","1800 22 7080 / suggestions@mdlzindia.com","PRESENT","PRESENT","COMPLIANT","NONE"
